Facility.ID,Jurisdiction,State,Name,Date,source,Residents.Confirmed,Staff.Confirmed,Residents.Deaths,Staff.Deaths,Residents.Recovered,Staff.Recovered,Residents.Tadmin,Staff.Tested,Residents.Negative,Staff.Negative,Residents.Pending,Staff.Pending,Residents.Quarantine,Staff.Quarantine,Residents.Active,Population.Feb20,Residents.Population,Residents.Tested,Residents.Initiated,Residents.Completed,Residents.Vadmin,Staff.Population,Staff.Initiated,Staff.Completed,Staff.Vadmin,Address,Zipcode,City,County,Latitude,Longitude,County.FIPS,HIFLD.ID,jurisdiction_scraper,Description,Security,Age,Gender,Is.Different.Operator,Different.Operator,Capacity,BJS.ID,Source.Population.Feb20,Source.Capacity,Website,ICE.Field.Office
201,state,Connecticut,BRIDGEPORT CORRECTIONAL CENTER,2020-04-02,https://data.ct.gov/Public-Safety/Correctional-Facility-Daily-Population-Count-By-Fa/n8x6-s299,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689,670,NA,NA,NA,NA,NA,NA,NA,NA,1106 NORTH AVE,6604,BRIDGEPORT,FAIRFIELD,41.1906143,-73.20106036,9001,10002400,state,Prison,Max,Adult,Male,FALSE,NA,816,070000000070100000000,Public Records,HIFLD,http://www.ct.gov/doc/cwp/view.asp?a=1502&Q=265422&docNav=|,NA
201,state,Connecticut,BRIDGEPORT CORRECTIONAL CENTER,2020-04-03,https://data.ct.gov/Public-Safety/Correctional-Facility-Daily-Population-Count-By-Fa/n8x6-s299,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689,662,NA,NA,NA,NA,NA,NA,NA,NA,1106 NORTH AVE,6604,BRIDGEPORT,FAIRFIELD,41.1906143,-73.20106036,9001,10002400,state,Prison,Max,Adult,Male,FALSE,NA,816,070000000070100000000,Public Records,HIFLD,http://www.ct.gov/doc/cwp/view.asp?a=1502&Q=265422&docNav=|,NA
201,state,Connecticut,BRIDGEPORT CORRECTIONAL CENTER,2020-04-04,https://data.ct.gov/Public-Safety/Correctional-Facility-Daily-Population-Count-By-Fa/n8x6-s299,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689,656,NA,NA,NA,NA,NA,NA,NA,NA,1106 NORTH AVE,6604,BRIDGEPORT,FAIRFIELD,41.1906143,-73.20106036,9001,10002400,state,Prison,Max,Adult,Male,FALSE,NA,816,070000000070100000000,Public Records,HIFLD,http://www.ct.gov/doc/cwp/view.asp?a=1502&Q=265422&docNav=|,NA
201,state,Connecticut,BRIDGEPORT CORRECTIONAL CENTER,2020-04-05,https://data.ct.gov/Public-Safety/Correctional-Facility-Daily-Population-Count-By-Fa/n8x6-s299,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689,655,NA,NA,NA,NA,NA,NA,NA,NA,1106 NORTH AVE,6604,BRIDGEPORT,FAIRFIELD,41.1906143,-73.20106036,9001,10002400,state,Prison,Max,Adult,Male,FALSE,NA,816,070000000070100000000,Public Records,HIFLD,http://www.ct.gov/doc/cwp/view.asp?a=1502&Q=265422&docNav=|,NA
201,state,Connecticut,BRIDGEPORT CORRECTIONAL CENTER,2020-04-06,https://data.ct.gov/Public-Safety/Correctional-Facility-Daily-Population-Count-By-Fa/n8x6-s299,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689,656,NA,NA,NA,NA,NA,NA,NA,NA,1106 NORTH AVE,6604,BRIDGEPORT,FAIRFIELD,41.1906143,-73.20106036,9001,10002400,state,Prison,Max,Adult,Male,FALSE,NA,816,070000000070100000000,Public Records,HIFLD,http://www.ct.gov/doc/cwp/view.asp?a=1502&Q=265422&docNav=|,NA
201,state,Connecticut,BRIDGEPORT CORRECTIONAL CENTER,2020-04-07,https://data.ct.gov/Public-Safety/Correctional-Facility-Daily-Population-Count-By-Fa/n8x6-s299,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689,645,NA,NA,NA,NA,NA,NA,NA,NA,1106 NORTH AVE,6604,BRIDGEPORT,FAIRFIELD,41.1906143,-73.20106036,9001,10002400,state,Prison,Max,Adult,Male,FALSE,NA,816,070000000070100000000,Public Records,HIFLD,http://www.ct.gov/doc/cwp/view.asp?a=1502&Q=265422&docNav=|,NA
201,state,Connecticut,BRIDGEPORT CORRECTIONAL CENTER,2020-04-08,https://data.ct.gov/Public-Safety/Correctional-Facility-Daily-Population-Count-By-Fa/n8x6-s299,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689,640,NA,NA,NA,NA,NA,NA,NA,NA,1106 NORTH AVE,6604,BRIDGEPORT,FAIRFIELD,41.1906143,-73.20106036,9001,10002400,state,Prison,Max,Adult,Male,FALSE,NA,816,070000000070100000000,Public Records,HIFLD,http://www.ct.gov/doc/cwp/view.asp?a=1502&Q=265422&docNav=|,NA
201,state,Connecticut,BRIDGEPORT CORRECTIONAL CENTER,2020-04-09,https://data.ct.gov/Public-Safety/Correctional-Facility-Daily-Population-Count-By-Fa/n8x6-s299,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689,636,NA,NA,NA,NA,NA,NA,NA,NA,1106 NORTH AVE,6604,BRIDGEPORT,FAIRFIELD,41.1906143,-73.20106036,9001,10002400,state,Prison,Max,Adult,Male,FALSE,NA,816,070000000070100000000,Public Records,HIFLD,http://www.ct.gov/doc/cwp/view.asp?a=1502&Q=265422&docNav=|,NA
201,state,Connecticut,BRIDGEPORT CORRECTIONAL CENTER,2020-04-10,https://data.ct.gov/Public-Safety/Correctional-Facility-Daily-Population-Count-By-Fa/n8x6-s299,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689,625,NA,NA,NA,NA,NA,NA,NA,NA,1106 NORTH AVE,6604,BRIDGEPORT,FAIRFIELD,41.1906143,-73.20106036,9001,10002400,state,Prison,Max,Adult,Male,FALSE,NA,816,070000000070100000000,Public Records,HIFLD,http://www.ct.gov/doc/cwp/view.asp?a=1502&Q=265422&docNav=|,NA
201,state,Connecticut,BRIDGEPORT CORRECTIONAL CENTER,2020-04-11,https://data.ct.gov/Public-Safety/Correctional-Facility-Daily-Population-Count-By-Fa/n8x6-s299,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689,625,NA,NA,NA,NA,NA,NA,NA,NA,1106 NORTH AVE,6604,BRIDGEPORT,FAIRFIELD,41.1906143,-73.20106036,9001,10002400,state,Prison,Max,Adult,Male,FALSE,NA,816,070000000070100000000,Public Records,HIFLD,http://www.ct.gov/doc/cwp/view.asp?a=1502&Q=265422&docNav=|,NA
