Facility.ID,Jurisdiction,State,Name,Date,source,Residents.Confirmed,Staff.Confirmed,Residents.Deaths,Staff.Deaths,Residents.Recovered,Staff.Recovered,Residents.Tadmin,Staff.Tested,Residents.Negative,Staff.Negative,Residents.Pending,Staff.Pending,Residents.Quarantine,Staff.Quarantine,Residents.Active,Residents.Tested,Residents.Population,Address,Zipcode,City,County,County.FIPS,Latitude,Longitude,Description,Security,Age,Gender,Is.Different.Operator,Different.Operator,Population.Feb20,Source.Population.Feb20,Capacity,Source.Capacity,HIFLD.ID,BJS.ID,Website
240,state,Florida,APALACHEE CORRECTIONAL INSTITUTION,2020-03-31,http://www.dc.state.fl.us/comm/press/main/03-31-Covid.html,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52 WEST UNIT DR,32460,SNEADS,JACKSON,12063,30.71148316,-84.88818219,Prison,NA,Adult,Male,0,NA,1804,Public Records,1169,Public Records,10000336,NA,http://www.dc.state.fl.us/orginfo/facilitydir.html#4
NA,NA,Florida,BLACKWATER CF,2020-03-31,http://www.dc.state.fl.us/comm/press/main/03-31-Covid.html,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5914 JEFF ATES ROAD,32583,MILTON,SANTA ROSA,12113,30.64568696,-86.95060909,NA,NA,NA,NA,0,NA,1977,HIFLD,2000,HIFLD,10006205,108e18,https://www.geogroup.com/Locations
249,state,Florida,CENTURY CORRECTIONAL INSTITUTION,2020-03-31,http://www.dc.state.fl.us/comm/press/main/03-31-Covid.html,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400 TEDDER RD,32535,CENTURY,ESCAMBIA,12033,30.95817641,-87.29950017,Prison,NA,Adult,Male,0,NA,1514,Public Records,1345,Public Records,10002152,NA,http://www.dc.state.fl.us/orginfo/facilitydir.html#4
NA,NA,Florida,COMMUNITY CORRECTIONS REGION 3,2020-03-31,http://www.dc.state.fl.us/comm/press/main/03-31-Covid.html,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002 E 26TH AVENUE,33605,TAMPA,NA,NA,26.8384331,-81.1208015,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,http://www.dc.state.fl.us/comm/covid-19.html
NA,NA,Florida,COMMUNITY CORRECTIONS REGION 4,2020-03-31,http://www.dc.state.fl.us/comm/press/main/03-31-Covid.html,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1641 WORTHINGTON ROAD,33409,WEST PALM BEACH FL,NA,NA,30.5046671,-82.9631939,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,http://www.dc.state.fl.us/comm/covid-19.html
265,state,Florida,EVERGLADES CORRECTIONAL INSTITUTION,2020-03-31,http://www.dc.state.fl.us/comm/press/main/03-31-Covid.html,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1599 S.W. 187TH AVE.,33194,MIAMI,MIAMI-DADE,12086,25.75086336,-80.48896138,Prison,NA,Adult,Male,0,NA,2178,Public Records,1788,Public Records,10004646,NA,http://www.dc.state.fl.us/orginfo/facilitydir.html#4
267,state,Florida,FLORIDA WOMENS RECEPTION CENTER,2020-03-31,http://www.dc.state.fl.us/comm/press/main/03-31-Covid.html,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3700 NW 111TH PLACE,34482,OCALA,MARION,12083,29.30979922,-82.18626021,Reception Center,NA,Adult,Female,0,NA,898,Public Records,1199,Public Records,10006167,NA,http://www.dc.state.fl.us/orginfo/facilitydir.html#4
291,state,Florida,MARION CORRECTIONAL INSTITUTION,2020-03-31,http://www.dc.state.fl.us/comm/press/main/03-31-Covid.html,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3269 NW 105TH ST,34475,OCALA,MARION,12083,29.30810089,-82.17502385,Prison,NA,Adult,Male,0,NA,1569,Public Records,1324,Public Records,10000440,NA,http://www.dc.state.fl.us/orginfo/facilitydir.html#4
314,state,Florida,SUMTER CORRECTIONAL INSTITUTION,2020-03-31,http://www.dc.state.fl.us/comm/press/main/03-31-Covid.html,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9544 COUNTY RD 476B,33513,BUSHNELL,SUMTER,12119,28.61748387,-82.20754297,Prison,NA,Mixed,Male,0,NA,1324,Public Records,1639,Public Records,10000455,NA,http://www.dc.state.fl.us/orginfo/facilitydir.html#4
322,state,Florida,ZEPHYRHILLS CORRECTIONAL INSTITUTION,2020-03-31,http://www.dc.state.fl.us/comm/press/main/03-31-Covid.html,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2739 GALL BLVD,33541,ZEPHYRHILLS,PASCO,12101,28.19909791,-82.19869217,Prison,NA,Adult,Male,0,NA,603,Public Records,758,Public Records,10000467,NA,http://www.dc.state.fl.us/orginfo/facilitydir.html#4
240,state,Florida,APALACHEE CORRECTIONAL INSTITUTION,2020-04-01,http://www.dc.state.fl.us/comm/press/main/04-01-Covid.html,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52 WEST UNIT DR,32460,SNEADS,JACKSON,12063,30.71148316,-84.88818219,Prison,NA,Adult,Male,0,NA,1804,Public Records,1169,Public Records,10000336,NA,http://www.dc.state.fl.us/orginfo/facilitydir.html#4
NA,NA,Florida,BLACKWATER CF,2020-04-01,http://www.dc.state.fl.us/comm/press/main/04-01-Covid.html,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5914 JEFF ATES ROAD,32583,MILTON,SANTA ROSA,12113,30.64568696,-86.95060909,NA,NA,NA,NA,0,NA,1977,HIFLD,2000,HIFLD,10006205,108e18,https://www.geogroup.com/Locations
249,state,Florida,CENTURY CORRECTIONAL INSTITUTION,2020-04-01,http://www.dc.state.fl.us/comm/press/main/04-01-Covid.html,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400 TEDDER RD,32535,CENTURY,ESCAMBIA,12033,30.95817641,-87.29950017,Prison,NA,Adult,Male,0,NA,1514,Public Records,1345,Public Records,10002152,NA,http://www.dc.state.fl.us/orginfo/facilitydir.html#4
NA,NA,Florida,COMMUNITY CORRECTIONS REGION 3,2020-04-01,http://www.dc.state.fl.us/comm/press/main/04-01-Covid.html,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002 E 26TH AVENUE,33605,TAMPA,NA,NA,26.8384331,-81.1208015,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,http://www.dc.state.fl.us/comm/covid-19.html
NA,NA,Florida,COMMUNITY CORRECTIONS REGION 4,2020-04-01,http://www.dc.state.fl.us/comm/press/main/04-01-Covid.html,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1641 WORTHINGTON ROAD,33409,WEST PALM BEACH FL,NA,NA,30.5046671,-82.9631939,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,http://www.dc.state.fl.us/comm/covid-19.html
265,state,Florida,EVERGLADES CORRECTIONAL INSTITUTION,2020-04-01,http://www.dc.state.fl.us/comm/press/main/04-01-Covid.html,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1599 S.W. 187TH AVE.,33194,MIAMI,MIAMI-DADE,12086,25.75086336,-80.48896138,Prison,NA,Adult,Male,0,NA,2178,Public Records,1788,Public Records,10004646,NA,http://www.dc.state.fl.us/orginfo/facilitydir.html#4
267,state,Florida,FLORIDA WOMENS RECEPTION CENTER,2020-04-01,http://www.dc.state.fl.us/comm/press/main/04-01-Covid.html,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3700 NW 111TH PLACE,34482,OCALA,MARION,12083,29.30979922,-82.18626021,Reception Center,NA,Adult,Female,0,NA,898,Public Records,1199,Public Records,10006167,NA,http://www.dc.state.fl.us/orginfo/facilitydir.html#4
291,state,Florida,MARION CORRECTIONAL INSTITUTION,2020-04-01,http://www.dc.state.fl.us/comm/press/main/04-01-Covid.html,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3269 NW 105TH ST,34475,OCALA,MARION,12083,29.30810089,-82.17502385,Prison,NA,Adult,Male,0,NA,1569,Public Records,1324,Public Records,10000440,NA,http://www.dc.state.fl.us/orginfo/facilitydir.html#4
314,state,Florida,SUMTER CORRECTIONAL INSTITUTION,2020-04-01,http://www.dc.state.fl.us/comm/press/main/04-01-Covid.html,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9544 COUNTY RD 476B,33513,BUSHNELL,SUMTER,12119,28.61748387,-82.20754297,Prison,NA,Mixed,Male,0,NA,1324,Public Records,1639,Public Records,10000455,NA,http://www.dc.state.fl.us/orginfo/facilitydir.html#4
322,state,Florida,ZEPHYRHILLS CORRECTIONAL INSTITUTION,2020-04-01,http://www.dc.state.fl.us/comm/press/main/04-01-Covid.html,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2739 GALL BLVD,33541,ZEPHYRHILLS,PASCO,12101,28.19909791,-82.19869217,Prison,NA,Adult,Male,0,NA,603,Public Records,758,Public Records,10000467,NA,http://www.dc.state.fl.us/orginfo/facilitydir.html#4
240,state,Florida,APALACHEE CORRECTIONAL INSTITUTION,2020-04-02,http://www.dc.state.fl.us/comm/press/main/04-02-Covid.html,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52 WEST UNIT DR,32460,SNEADS,JACKSON,12063,30.71148316,-84.88818219,Prison,NA,Adult,Male,0,NA,1804,Public Records,1169,Public Records,10000336,NA,http://www.dc.state.fl.us/orginfo/facilitydir.html#4
NA,NA,Florida,BLACKWATER CF,2020-04-02,http://www.dc.state.fl.us/comm/press/main/03-31-Covid.html,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5914 JEFF ATES ROAD,32583,MILTON,SANTA ROSA,12113,30.64568696,-86.95060909,NA,NA,NA,NA,0,NA,1977,HIFLD,2000,HIFLD,10006205,108e18,https://www.geogroup.com/Locations
249,state,Florida,CENTURY CORRECTIONAL INSTITUTION,2020-04-02,http://www.dc.state.fl.us/comm/press/main/03-31-Covid.html,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400 TEDDER RD,32535,CENTURY,ESCAMBIA,12033,30.95817641,-87.29950017,Prison,NA,Adult,Male,0,NA,1514,Public Records,1345,Public Records,10002152,NA,http://www.dc.state.fl.us/orginfo/facilitydir.html#4
