Facility.ID,Jurisdiction,State,Name,Date,source,Residents.Confirmed,Staff.Confirmed,Residents.Deaths,Staff.Deaths,Residents.Recovered,Staff.Recovered,Residents.Tadmin,Staff.Tested,Residents.Negative,Staff.Negative,Residents.Pending,Staff.Pending,Residents.Quarantine,Staff.Quarantine,Residents.Active,Population.Feb20,Residents.Population,Residents.Tested,Residents.Initiated,Residents.Completed,Residents.Vadmin,Staff.Initiated,Staff.Completed,Staff.Vadmin,Address,Zipcode,City,County,Latitude,Longitude,County.FIPS,HIFLD.ID,jurisdiction_scraper,Description,Security,Age,Gender,Is.Different.Operator,Different.Operator,Capacity,BJS.ID,Source.Population.Feb20,Source.Capacity,Website,ICE.Field.Office
1584,state,Washington,AHTANUM VIEW WORK RELEASE,2020-06-26,NA,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,state,Transitional Center,NA,NA,NA,FALSE,NA,NA,480000000078200000000,NA,NA,NA,NA
1584,state,Washington,AHTANUM VIEW WORK RELEASE,2020-06-27,NA,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,state,Transitional Center,NA,NA,NA,FALSE,NA,NA,480000000078200000000,NA,NA,NA,NA
1584,state,Washington,AHTANUM VIEW WORK RELEASE,2020-06-28,NA,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,state,Transitional Center,NA,NA,NA,FALSE,NA,NA,480000000078200000000,NA,NA,NA,NA
1584,state,Washington,AHTANUM VIEW WORK RELEASE,2020-06-29,NA,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,state,Transitional Center,NA,NA,NA,FALSE,NA,NA,480000000078200000000,NA,NA,NA,NA
1584,state,Washington,AHTANUM VIEW WORK RELEASE,2020-06-30,NA,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,state,Transitional Center,NA,NA,NA,FALSE,NA,NA,480000000078200000000,NA,NA,NA,NA
1584,state,Washington,AHTANUM VIEW WORK RELEASE,2020-07-01,NA,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,state,Transitional Center,NA,NA,NA,FALSE,NA,NA,480000000078200000000,NA,NA,NA,NA
1584,state,Washington,AHTANUM VIEW WORK RELEASE,2020-07-02,NA,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,state,Transitional Center,NA,NA,NA,FALSE,NA,NA,480000000078200000000,NA,NA,NA,NA
1584,state,Washington,AHTANUM VIEW WORK RELEASE,2020-07-03,NA,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,state,Transitional Center,NA,NA,NA,FALSE,NA,NA,480000000078200000000,NA,NA,NA,NA
1584,state,Washington,AHTANUM VIEW WORK RELEASE,2020-07-04,NA,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,state,Transitional Center,NA,NA,NA,FALSE,NA,NA,480000000078200000000,NA,NA,NA,NA
1584,state,Washington,AHTANUM VIEW WORK RELEASE,2020-07-05,NA,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,state,Transitional Center,NA,NA,NA,FALSE,NA,NA,480000000078200000000,NA,NA,NA,NA
