State,Name,Date,Residents.Confirmed,Staff.Confirmed,Residents.Deaths,Staff.Deaths,Residents.Recovered,Staff.Recovered,Residents.Negative,Residents.Pending,Residents.Quarantine,Staff.Quarantine,Residents.Tested,jurisdiction,id
CA,AVENAL STATE PRISON,2020-03-31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-02,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-03,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-04,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-05,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-06,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-07,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-08,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-09,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-13,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-14,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-15,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-17,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-19,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-20,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-21,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-22,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-23,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-24,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-25,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-26,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-27,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-28,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-29,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-04-30,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-01,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-02,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-03,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-04,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-05,0,0,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-06,0,0,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-07,0,0,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-08,0,0,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-09,0,0,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-10,0,0,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-11,0,0,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-12,0,0,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-13,0,0,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-14,0,0,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-15,0,1,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-16,0,1,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-17,0,1,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-18,0,1,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-19,0,4,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-20,25,4,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-21,48,8,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-22,49,8,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-23,128,10,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-24,197,10,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-25,198,10,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-26,198,10,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-27,198,20,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-28,200,20,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-29,216,21,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-30,241,21,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-05-31,96,21,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-06-01,598,28,0,NA,0,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
CA,AVENAL STATE PRISON,2020-06-02,599,29,0,NA,28,0,NA,NA,NA,NA,NA,state,pre-nov_ca_covid
